CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Churn_Prob,Prediction,Risk_Tier
15657778,Jefferson,657,France,Male,33,1,84309.57,2,0,0,103914.4,0,0.02,0,Low Risk
15652835,Liang,419,Spain,Female,27,2,121580.42,1,1,1,134720.51,0,0.24,0,Low Risk
15810454,Reed,709,France,Male,32,4,147307.91,1,1,1,40861.55,0,0.04,0,Low Risk
15600832,Moss,508,France,Female,43,9,0,1,0,0,103726.71,0,0.41,0,Medium Risk
15763613,Barlow,581,France,Male,30,1,0,2,0,0,199464.08,0,0.10,0,Low Risk
15613713,Kozlova,644,France,Male,30,5,44928.88,1,1,1,10771.46,0,0.05,0,Low Risk
15576945,Clements,582,France,Male,29,0,0,1,0,0,142516.35,0,0.18,0,Low Risk
15663421,Esposito,527,Spain,Male,28,6,128396.33,2,0,0,79919.97,0,0.06,0,Low Risk
15625461,Amos,613,France,Female,45,1,187841.99,2,1,1,147224.27,0,0.37,0,Low Risk
15598782,Pinto,755,Germany,Female,30,6,154221.37,2,1,1,62688.55,0,0.08,0,Low Risk
15723488,Watson,668,Germany,Male,47,7,106854.21,1,1,1,157959.02,1,0.53,1,Medium Risk
15628292,Lucchesi,850,France,Male,32,4,156001.68,2,1,1,151677.31,0,0.03,0,Low Risk
15629150,Lucchese,721,France,Female,37,1,0,2,0,0,70810.8,0,0.08,0,Low Risk
15747960,Eluemuno,733,France,Male,33,3,0,1,1,1,7666.73,0,0.11,0,Low Risk
15574868,Lowell,792,Germany,Male,36,5,115725.24,2,0,0,1871.25,0,0.13,0,Low Risk
15779064,Chidiegwu,677,France,Male,27,2,0,2,1,1,20092.89,0,0.01,0,Low Risk
15736287,Piccio,586,France,Male,33,9,0,1,0,0,6975.02,0,0.26,0,Low Risk
15612729,Chidiebere,681,France,Female,63,7,0,2,1,1,55054.48,0,0.01,0,Low Risk
15626710,Yudina,642,France,Female,39,4,0,1,1,1,76821.24,0,0.10,0,Low Risk
15567778,Genovese,690,Germany,Female,54,1,144027.8,1,1,1,108731.02,1,0.54,1,Medium Risk
15741295,Yefimova,615,France,Male,49,3,0,2,1,1,49872.33,0,0.11,0,Low Risk
15729515,McCarthy,782,France,Male,36,1,148795.17,2,1,1,195681.43,0,0.05,0,Low Risk
15692291,Hs?eh,563,Spain,Female,42,6,99056.22,2,0,0,154347.95,1,0.23,0,Low Risk
15575410,Chidiegwu,667,Germany,Female,39,4,83765.35,2,0,0,118358.54,0,0.18,0,Low Risk
15685844,White,518,Germany,Female,35,8,141665.63,1,1,1,192776.64,0,0.34,0,Low Risk
15593795,Linton,516,Germany,Female,53,1,156674.2,1,0,0,118502.34,1,0.81,1,High Risk
15613102,Ogochukwu,670,France,Female,31,2,57530.06,1,1,1,181893.31,1,0.16,0,Low Risk
15584477,K?,655,Spain,Female,35,1,106405.03,1,1,1,82900.25,0,0.06,0,Low Risk
15731543,Becker,679,Spain,Male,58,9,109327.65,1,1,1,3829.13,0,0.29,0,Low Risk
